"neq","nom","full_address","adresse","ville","province","code_postal","pays","nir","titre","categorie_transport","date_inscription","date_prochaine_maj","code_securite","droit_circulation","droit_exploiter","motif","extra_values","vrac_numero_inscription","vrac_region_exploitation","vrac_nombre_camions","vrac_nom_courtier"
"1140038200","9000-2486 QUÉBEC INC.","1965, rue Frank-Carrel, App. 102 Québec (Québec)  G1N 2E6","1965, rue Frank-Carrel, App. 102","Québec","Québec","G1N 2E6","","R-154007-0","Propriétaire de véhicules lourds","Sans objet","2022-12-07 09:13","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140039224","9000-2353 QUÉBEC INC.","500, Route 341 L'Épiphanie (Québec)  J5X 4A6","500, Route 341","L'Épiphanie","Québec","J5X 4A6","","R-540249-1","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-04-01","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140000069","SOCIÉTÉ DE PROTECTION DES FORÊTS CONTRE LE FEU (SOPFEU)","715, 7e rue de l'Aéroport Québec (Québec)  G2G 2S7","715, 7e rue de l'Aéroport","Québec","Québec","G2G 2S7","","R-014988-1","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-06-21","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140000085","BOUCHERIE STAN ROY INC.","","","","","","","R-029300-2","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-09-30 00:00","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140000382","9000-0373 QUÉBEC INC","1930, route Pierre-Laporte, Local 5 CP 121 Bromont (Québec)  J2L 1A9","1930, route Pierre-Laporte, Local 5 CP 121","Bromont","Québec","J2L 1A9","","R-583135-0","Propriétaire et exploitant de véhicules lourds","Marchandises","2007-03-07 12:30","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140020752","ENTRETIEN RÉNOVATIONS RÉNALD ROY INC","1135, av. Garden Mascouche (Québec)  J7L 0A5","1135, av. Garden","Mascouche","Québec","J7L 0A5","","R-517965-1","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140026072","9000-1207 QUÉBEC INC.","1080, ch. de Knowlton Lac-Brome (Québec)  J0E 2P0","1080, ch. de Knowlton","Lac-Brome","Québec","J0E 2P0","","R-145412-4","Propriétaire et exploitant de véhicules lourds","Marchandises","2021-05-11 15:25","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140026114","FERME M. HARNOIS INC.","2450, rang Sainte-Marguerite Saint-Maurice (Québec)  G0X 2X0","2450, rang Sainte-Marguerite","Saint-Maurice","Québec","G0X 2X0","","R-008949-1","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140041691","AUVENTS DU SUD-OUEST INC.","","","","","","","R-535071-6","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140048753","9000-4243 QUÉBEC INC.","415, rue Édouard Granby (Québec)  J2G 8S8","415, rue Édouard","Granby","Québec","J2G 8S8","","R-131607-5","Propriétaire et exploitant de véhicules lourds","Marchandises","2018-09-14 10:17","2026-11-11","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140049926","TRANSPORT FRANÇOIS SIGOUIN INC.","3986, ch. du Lac-Nadeau Mont-Laurier (Québec)  J9L 3G4","3986, ch. du Lac-Nadeau","Mont-Laurier","Québec","J9L 3G4","","R-508395-2","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-10-31","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140042145","9000-3260 QUÉBEC INC.","1127, rue Principale Saint-Prime (Québec)  G8J 1V2","1127, rue Principale","Saint-Prime","Québec","G8J 1V2","","R-150141-1","Propriétaire de véhicules lourds","Sans objet","2022-03-29 14:47","2026-04-17","Satisfaisant - Non audité","Oui","Non","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140043671","LES JARDINS CLAUDE & LOUISA INC.","172, rang Saint-Louis Saint-Damase (Québec)  J0H 1J0","172, rang Saint-Louis","Saint-Damase","Québec","J0H 1J0","","R-511981-4","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-06-26","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140044877","9000-3104 QUÉBEC INC.","1037, rue Denison O Granby (Québec)  J2J 0M1","1037, rue Denison O","Granby","Québec","J2J 0M1","","R-536800-7","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-07-12","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140044943","ÉQUIPEMENTS R.P. INC.","","","","","","","R-018071-2","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140045171","9000-2783 QUÉBEC INC.","5500, av. du Tour-du-Lac Shawinigan (Québec)  G0X 1L0","5500, av. du Tour-du-Lac","Shawinigan","Québec","G0X 1L0","","R-051386-2","Propriétaire et exploitant de véhicules lourds","Marchandises","2011-04-05 11:33","2026-09-22","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140045304","9000-3187 QUÉBEC INC.","1009, av. Van Horne Montréal (Québec)  H2V 1J4","1009, av. Van Horne","Montréal","Québec","H2V 1J4","","R-562593-5","Propriétaire et exploitant de véhicules lourds","Marchandises","2002-04-02 09:17","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140060543","LES MEUBLES DUPLESSIS INC","8080, av. Duplessis Saint-Hyacinthe (Québec)  J2R 1S6","8080, av. Duplessis","Saint-Hyacinthe","Québec","J2R 1S6","","R-518031-1","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140060642","FERME PIERRE TROTTIER INC.","20, rang de la Rivière-Blanche E Saint-Thuribe (Québec)  G0A 4H0","20, rang de la Rivière-Blanche E","Saint-Thuribe","Québec","G0A 4H0","","R-053127-8","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140061061","LE CENTRE ROUTIER (1994) INC.","375, rue Témiscouata Rivière-du-Loup (Québec)  G5R 3Z5","375, rue Témiscouata","Rivière-du-Loup","Québec","G5R 3Z5","","R-020577-4","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-09-27","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140061764","SM CONSTRUCTION INC.","15971, boul. de la Colline Québec (Québec)  G3G 3A7","15971, boul. de la Colline","Québec","Québec","G3G 3A7","","R-025945-8","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-06-13","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140062077","FONDATION LABBÉ INC.","15, 11e Rang Saint-Christophe-d'Arthabaska (Québec)  G6R 0R6","15, 11e Rang","Saint-Christophe-d'Arthabaska","Québec","G6R 0R6","","R-011975-1","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-02-01","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140063869","M.H. MAGNÉTO INC.","95, rue des Routiers Saguenay (Québec)  G7H 5B1","95, rue des Routiers","Saguenay","Québec","G7H 5B1","","R-118269-1","Propriétaire et exploitant de véhicules lourds","Marchandises","2016-03-10 15:26","2026-03-10","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140064081","LES ÉQUIPEMENTS LAITIERS DENIS LAMONTAGNE INC.","3139, av. Royale Saint-Charles-de-Bellechasse (Québec)  G0R 2T0","3139, av. Royale","Saint-Charles-de-Bellechasse","Québec","G0R 2T0","","R-013841-3","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140065310","FERME GUY LAURIN INC.","145, Petite Ligne Saint-Alexis (Québec)  J0K 1T0","145, Petite Ligne","Saint-Alexis","Québec","J0K 1T0","","R-543055-9","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-04-13","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140067522","LE MOBILIER JEANNOIS INC.","","","","","","","R-016615-8","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140063422","FERME M.S. BRIEN INC.","1044, ch. de Béthanie Béthanie (Québec)  J0H 1E1","1044, ch. de Béthanie","Béthanie","Québec","J0H 1E1","","R-596786-5","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140063463","9000-8723 QUÉBEC INC.","","","","","","","R-006426-2","Propriétaire et exploitant de véhicules lourds","Sans objet","1999-04-01 00:00","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140055766","LES MARAÎCHERS BOMBARDIER INC.","555, rang des Sloan Saint-Édouard (Québec)  J0L 1Y0","555, rang des Sloan","Saint-Édouard","Québec","J0L 1Y0","","R-514367-3","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-02-20","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140056798","PAYSAGISTES RAMCO INC","","","","","","","R-552748-7","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140057218","VERGER HAMEL DISTRIBUTION INC.","2050, rang Papineau Saint-Paul-d'Abbotsford (Québec)  J0E 1A0","2050, rang Papineau","Saint-Paul-d'Abbotsford","Québec","J0E 1A0","","R-540745-8","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-07-02","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140057671","GROUPE TRANS-INTER INC.","2528, rue Westwood Saint-Lazare (Québec)  J7T 0A1","2528, rue Westwood","Saint-Lazare","Québec","J7T 0A1","","R-510354-5","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140058828","FERME LAGACÉ ET FILS INC.","8310, ch. du Rapide-Plat N Saint-Hyacinthe (Québec)  J2R 1H6","8310, ch. du Rapide-Plat N","Saint-Hyacinthe","Québec","J2R 1H6","","R-153066-7","Propriétaire de véhicules lourds","Sans objet","2022-09-22 14:45","2026-10-14","Satisfaisant - Non audité","Oui","Non","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140068678","NETTOYAGE EXPRESS (1977) INC.","775, rue Amédée Baie-Comeau (Québec)  G5C 1W8","775, rue Amédée","Baie-Comeau","Québec","G5C 1W8","","R-132082-0","Propriétaire et exploitant de véhicules lourds","Marchandises","2018-10-18 14:51","2026-11-24","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140075046","SERVICES ROUTIERS R.S. INC.","870, rue Philippe-Paradis, Bureau 172 Québec (Québec)  G1N 4E4","870, rue Philippe-Paradis, Bureau 172","Québec","Québec","G1N 4E4","","R-020873-7","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140075210","9001-1115 QUÉBEC INC.","4060, rang du Haut St-François Laval (Québec)  H7E 4P2","4060, rang du Haut St-François","Laval","Québec","H7E 4P2","","R-536856-9","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-08-24","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140075665","TRANSPORTS JENNOIS INC.","1007, boul. Hamel Saint-Félicien (Québec)  G8K 1X9","1007, boul. Hamel","Saint-Félicien","Québec","G8K 1X9","","R-010649-3","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-11-12","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140076192","9001-1545 QUÉBEC INC.","3785, boul. Masson, App. 205 Québec (Québec)  G1P 1K2","3785, boul. Masson, App. 205","Québec","Québec","G1P 1K2","","R-005886-8","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-11-14","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140079329","FERME BONIMEL INC.","1020, rte des Pionniers Sainte-Marie-de-Blandford (Québec)  G0X 2W0","1020, rte des Pionniers","Sainte-Marie-de-Blandford","Québec","G0X 2W0","","R-115803-0","Propriétaire et exploitant de véhicules lourds","Marchandises","2015-08-06 11:39","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140079337","9001-1933 QUÉBEC INC.","343, 13e Avenue Senneterre (Québec)  J0Y 2M0","343, 13e Avenue","Senneterre","Québec","J0Y 2M0","","R-503906-1","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140080129","LES CABANONS V.M. INC.","1448, av. Taniata Lévis (Québec)  G6Z 2L2","1448, av. Taniata","Lévis","Québec","G6Z 2L2","","R-013137-6","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-02-12","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140080558","MOUKY INC.","","","","","","","R-590534-5","Propriétaire et exploitant de véhicules lourds","Marchandises","2009-03-13 14:14","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140080699","9001-2923 QUÉBEC INC.","","","","","","","R-556067-8","Propriétaire et exploitant de véhicules lourds","Marchandises","2000-09-26 14:19","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140080764","9001-3160 QUÉBEC INC.","221, rue Norman Montréal (Québec)  H8R 1A3","221, rue Norman","Montréal","Québec","H8R 1A3","","R-544523-5","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-04-21","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140076762","TRANSPORT HAROLD INC.","1169, rue de la Licorne Lévis (Québec)  G6Z 3N6","1169, rue de la Licorne","Lévis","Québec","G6Z 3N6","","R-003363-0","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140077448","9001-1941 QUÉBEC INC.","","","","","","","R-042496-1","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140078131","TRANSPORT ANDRÉ FRENETTE INC.","2212, rue Notre-Dame Québec (Québec)  G2E 3G2","2212, rue Notre-Dame","Québec","Québec","G2E 3G2","","R-002419-1","Sans objet","Personnes","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140078255","FERME LAMPARDIS INC.","2578, 7e Rang Sainte-Séraphine (Québec)  J0A 1E0","2578, 7e Rang","Sainte-Séraphine","Québec","J0A 1E0","","R-049118-4","Propriétaire et exploitant de véhicules lourds","Marchandises","2009-11-04 14:23","2026-02-11","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140069908","LE GROUPE IVAN ROGER INC.","3000, côte de Terrebonne Terrebonne (Québec)  J6Y 1G1","3000, côte de Terrebonne","Terrebonne","Québec","J6Y 1G1","","R-150386-2","Exploitant de véhicules lourds","Marchandises","2022-04-08 13:43","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140070849","9000-8947 QUÉBEC INC.","","","","","","","R-533283-9","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140070955","9001-0216 QUÉBEC INC.","102, ch. de Blue Sea N,  CP 112 Blue Sea (Québec)  J0X 1C0","102, ch. de Blue Sea N,  CP 112","Blue Sea","Québec","J0X 1C0","","R-542084-0","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-09-05","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140071813","FERME BERJANO INC.","","","","","","","R-009014-3","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140071904","9000-9879 QUÉBEC INC.","971, rue Lévesque Saint-Félicien (Québec)  G8K 2Z6","971, rue Lévesque","Saint-Félicien","Québec","G8K 2Z6","","R-002418-3","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140071912","TRANSPORT CAPISTRAN INC.","4, rue Réal Sorel-Tracy (Québec)  J3P 5M6","4, rue Réal","Sorel-Tracy","Québec","J3P 5M6","","R-503867-5","Propriétaire de véhicules lourds","Marchandises","1999-04-01 00:00","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140072514","9001-0489 QUÉBEC INC.","258, 5e rang de Fleuriau Sainte-Angèle-de-Mérici (Québec)  G0J 2H0","258, 5e rang de Fleuriau","Sainte-Angèle-de-Mérici","Québec","G0J 2H0","","R-052637-7","Propriétaire et exploitant de véhicules lourds","Marchandises","2011-10-05 11:57","2026-10-06","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140073454","FERME LES CHÊNES 2006 INC.","2220, rang Saint-Édouard Saint-Liboire (Québec)  J0H 1R0","2220, rang Saint-Édouard","Saint-Liboire","Québec","J0H 1R0","","R-157210-7","Propriétaire de véhicules lourds","Sans objet","2023-10-02 15:50","2026-10-01","Satisfaisant - Non audité","Oui","Non","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140073918","FERME R.D.C. DUROCHER INC.","250, ch. des Moulins Saint-Séverin (Québec)  G0X 2B0","250, ch. des Moulins","Saint-Séverin","Québec","G0X 2B0","","R-052816-7","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140086852","9001-4507 QUÉBEC INC.","100, 2e Rang O Métabetchouan - Lac-à-la-Croix (Québec)  G8G 1L8","100, 2e Rang O","Métabetchouan - Lac-à-la-Croix","Québec","G8G 1L8","","R-005773-8","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140087736","LES DISTRIBUTIONS CLAUDE LAROCHELLE INC.","2235, rue La Capellière Québec (Québec)  G1C 7H8","2235, rue La Capellière","Québec","Québec","G1C 7H8","","R-009569-6","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140087835","LES ENTREPRISES D.S. ROCHON ET FRÈRES INC.","4640, boul. Wilfrid-Hamel, Local 110 Québec (Québec)  G1P 2J9","4640, boul. Wilfrid-Hamel, Local 110","Québec","Québec","G1P 2J9","","R-013930-4","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-01-28","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140089260","FORMULE TRANSIT INC.","4915, rue Ambroise-Lafortune, App. 201 Boisbriand (Québec)  J7H 0A4","4915, rue Ambroise-Lafortune, App. 201","Boisbriand","Québec","J7H 0A4","","R-508098-2","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-10-16","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds,liste des intermédiaires en services de transport","","","",""
"1140089484","9001-4788 QUÉBEC INC.","1419, rue Curé-Malo Laval (Québec)  H7Y 2A5","1419, rue Curé-Malo","Laval","Québec","H7Y 2A5","","R-540861-3","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140089526","LES FERMES ROLLAND & SYLVAIN PION INC.","1041, ch. de la Rivière Bedford (Québec)  J0J 1A0","1041, ch. de la Rivière","Bedford","Québec","J0J 1A0","","R-531652-7","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-05-17","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140090490","LES HABITATIONS SHATHONY INC.","","","","","","","R-578221-5","Sans objet","Sans objet","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140090615","FERME DE MUNCK INC.","687, ch. du Ruisseau-Barré Marieville (Québec)  J3M 1P2","687, ch. du Ruisseau-Barré","Marieville","Québec","J3M 1P2","","R-108284-2","Propriétaire et exploitant de véhicules lourds","Marchandises","2014-04-08 12:20","2026-04-28","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140091704","9001-5546 QUÉBEC INC.","621, rue de Vernon Gatineau (Québec)  J9J 3K4","621, rue de Vernon","Gatineau","Québec","J9J 3K4","","R-010057-9","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-02-12","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
